model,task,fold,metric,value,data_split,ssp
p2s,localization,0.0,eval_loss,0.8045176267623901,cross-validation,NA
p2s,localization,0.0,eval_accuracy,0.7366037735849057,cross-validation,NA
p2s,localization,0.0,eval_precision,0.7580106326834318,cross-validation,NA
p2s,localization,0.0,eval_recall,0.7366037735849057,cross-validation,NA
p2s,localization,0.0,eval_f1,0.7384157765646006,cross-validation,NA
p2s,localization,0.0,eval_mcc,0.6718547835266293,cross-validation,NA
p2s,localization,0.0,eval_runtime,6.5804,cross-validation,NA
p2s,localization,0.0,eval_samples_per_second,201.356,cross-validation,NA
p2s,localization,0.0,eval_steps_per_second,201.356,cross-validation,NA
p2s,localization,0.0,epoch,7.0,cross-validation,NA
p2s,localization,1.0,eval_loss,0.7863627672195435,cross-validation,NA
p2s,localization,1.0,eval_accuracy,0.7418867924528302,cross-validation,NA
p2s,localization,1.0,eval_precision,0.7323723840827462,cross-validation,NA
p2s,localization,1.0,eval_recall,0.7418867924528302,cross-validation,NA
p2s,localization,1.0,eval_f1,0.7346872681409636,cross-validation,NA
p2s,localization,1.0,eval_mcc,0.677278394976847,cross-validation,NA
p2s,localization,1.0,eval_runtime,5.8432,cross-validation,NA
p2s,localization,1.0,eval_samples_per_second,226.759,cross-validation,NA
p2s,localization,1.0,eval_steps_per_second,226.759,cross-validation,NA
p2s,localization,1.0,epoch,8.0,cross-validation,NA
p2s,localization,2.0,eval_loss,0.8001199960708618,cross-validation,NA
p2s,localization,2.0,eval_accuracy,0.7522658610271903,cross-validation,NA
p2s,localization,2.0,eval_precision,0.7819348960020631,cross-validation,NA
p2s,localization,2.0,eval_recall,0.7522658610271903,cross-validation,NA
p2s,localization,2.0,eval_f1,0.7479470959882003,cross-validation,NA
p2s,localization,2.0,eval_mcc,0.7008528172012677,cross-validation,NA
p2s,localization,2.0,eval_runtime,6.0703,cross-validation,NA
p2s,localization,2.0,eval_samples_per_second,218.113,cross-validation,NA
p2s,localization,2.0,eval_steps_per_second,218.113,cross-validation,NA
p2s,localization,2.0,epoch,7.0,cross-validation,NA
p2s,localization,3.0,eval_loss,0.8800716400146484,cross-validation,NA
p2s,localization,3.0,eval_accuracy,0.7235649546827795,cross-validation,NA
p2s,localization,3.0,eval_precision,0.7631545081644519,cross-validation,NA
p2s,localization,3.0,eval_recall,0.7235649546827795,cross-validation,NA
p2s,localization,3.0,eval_f1,0.7259538713129438,cross-validation,NA
p2s,localization,3.0,eval_mcc,0.6648181934606127,cross-validation,NA
p2s,localization,3.0,eval_runtime,5.9883,cross-validation,NA
p2s,localization,3.0,eval_samples_per_second,221.096,cross-validation,NA
p2s,localization,3.0,eval_steps_per_second,221.096,cross-validation,NA
p2s,localization,3.0,epoch,7.0,cross-validation,NA
p2s,localization,4.0,eval_loss,0.8675520420074463,cross-validation,NA
p2s,localization,4.0,eval_accuracy,0.7401812688821753,cross-validation,NA
p2s,localization,4.0,eval_precision,0.7298034959071988,cross-validation,NA
p2s,localization,4.0,eval_recall,0.7401812688821753,cross-validation,NA
p2s,localization,4.0,eval_f1,0.7282077440508236,cross-validation,NA
p2s,localization,4.0,eval_mcc,0.6714563783458692,cross-validation,NA
p2s,localization,4.0,eval_runtime,6.218,cross-validation,NA
p2s,localization,4.0,eval_samples_per_second,212.931,cross-validation,NA
p2s,localization,4.0,eval_steps_per_second,212.931,cross-validation,NA
p2s,localization,4.0,epoch,9.0,cross-validation,NA
p2s,localization,,eval_loss,0.8018133640289307,test,NA
p2s,localization,,eval_accuracy,0.7269272529858849,test,NA
p2s,localization,,eval_precision,0.7113092264460519,test,NA
p2s,localization,,eval_recall,0.7269272529858849,test,NA
p2s,localization,,eval_f1,0.7163634633102952,test,NA
p2s,localization,,eval_mcc,0.6613878604561163,test,NA
p2s,localization,,eval_runtime,8.1735,test,NA
p2s,localization,,eval_samples_per_second,225.363,test,NA
p2s,localization,,eval_steps_per_second,225.363,test,NA
p2s,localization,,epoch,7.0,test,NA
p2s,fluorescence,0.0,eval_loss,0.4466432631015777,cross-validation,NA
p2s,fluorescence,0.0,eval_spearmanr,0.6742018979343678,cross-validation,NA
p2s,fluorescence,0.0,eval_runtime,21.8527,cross-validation,NA
p2s,fluorescence,0.0,eval_samples_per_second,245.37,cross-validation,NA
p2s,fluorescence,0.0,eval_steps_per_second,245.37,cross-validation,NA
p2s,fluorescence,0.0,epoch,7.0,cross-validation,NA
p2s,fluorescence,1.0,eval_loss,0.43895423412323,cross-validation,NA
p2s,fluorescence,1.0,eval_spearmanr,0.6549424442374048,cross-validation,NA
p2s,fluorescence,1.0,eval_runtime,21.9643,cross-validation,NA
p2s,fluorescence,1.0,eval_samples_per_second,244.123,cross-validation,NA
p2s,fluorescence,1.0,eval_steps_per_second,244.123,cross-validation,NA
p2s,fluorescence,1.0,epoch,6.0,cross-validation,NA
p2s,fluorescence,2.0,eval_loss,0.7895041704177856,cross-validation,NA
p2s,fluorescence,2.0,eval_spearmanr,0.6139374227123867,cross-validation,NA
p2s,fluorescence,2.0,eval_runtime,22.8862,cross-validation,NA
p2s,fluorescence,2.0,eval_samples_per_second,234.29,cross-validation,NA
p2s,fluorescence,2.0,eval_steps_per_second,234.29,cross-validation,NA
p2s,fluorescence,2.0,epoch,6.0,cross-validation,NA
p2s,fluorescence,3.0,eval_loss,0.5208869576454163,cross-validation,NA
p2s,fluorescence,3.0,eval_spearmanr,0.6455254662673912,cross-validation,NA
p2s,fluorescence,3.0,eval_runtime,21.8551,cross-validation,NA
p2s,fluorescence,3.0,eval_samples_per_second,245.298,cross-validation,NA
p2s,fluorescence,3.0,eval_steps_per_second,245.298,cross-validation,NA
p2s,fluorescence,3.0,epoch,6.0,cross-validation,NA
p2s,fluorescence,4.0,eval_loss,0.3495775461196899,cross-validation,NA
p2s,fluorescence,4.0,eval_spearmanr,0.6523496414646133,cross-validation,NA
p2s,fluorescence,4.0,eval_runtime,22.0102,cross-validation,NA
p2s,fluorescence,4.0,eval_samples_per_second,243.569,cross-validation,NA
p2s,fluorescence,4.0,eval_steps_per_second,243.569,cross-validation,NA
p2s,fluorescence,4.0,epoch,6.0,cross-validation,NA
p2s,fluorescence,,eval_loss,0.9523810744285583,test,NA
p2s,fluorescence,,eval_spearmanr,0.6256713012905695,test,NA
p2s,fluorescence,,eval_runtime,123.65,test,NA
p2s,fluorescence,,eval_samples_per_second,220.113,test,NA
p2s,fluorescence,,eval_steps_per_second,220.113,test,NA
p2s,fluorescence,,epoch,6.0,test,NA
p2s,solubility,0.0,eval_loss,0.4749718308448791,cross-validation,NA
p2s,solubility,0.0,eval_accuracy,0.7611639297032555,cross-validation,NA
p2s,solubility,0.0,eval_precision,0.733383543588778,cross-validation,NA
p2s,solubility,0.0,eval_recall,0.6721311475409836,cross-validation,NA
p2s,solubility,0.0,eval_f1,0.7014226544210337,cross-validation,NA
p2s,solubility,0.0,eval_mcc,0.5043646591563593,cross-validation,NA
p2s,solubility,0.0,eval_runtime,65.7693,cross-validation,NA
p2s,solubility,0.0,eval_samples_per_second,211.101,cross-validation,NA
p2s,solubility,0.0,eval_steps_per_second,211.101,cross-validation,NA
p2s,solubility,0.0,epoch,6.0,cross-validation,NA
p2s,solubility,1.0,eval_loss,0.4660684764385223,cross-validation,NA
p2s,solubility,1.0,eval_accuracy,0.7659896283491789,cross-validation,NA
p2s,solubility,1.0,eval_precision,0.7353920118343196,cross-validation,NA
p2s,solubility,1.0,eval_recall,0.6862812769628991,cross-validation,NA
p2s,solubility,1.0,eval_f1,0.7099883959653663,cross-validation,NA
p2s,solubility,1.0,eval_mcc,0.5151069483724569,cross-validation,NA
p2s,solubility,1.0,eval_runtime,63.4829,cross-validation,NA
p2s,solubility,1.0,eval_samples_per_second,218.705,cross-validation,NA
p2s,solubility,1.0,eval_steps_per_second,218.705,cross-validation,NA
p2s,solubility,1.0,epoch,7.0,cross-validation,NA
p2s,solubility,2.0,eval_loss,0.4853530824184418,cross-validation,NA
p2s,solubility,2.0,eval_accuracy,0.7588591184096802,cross-validation,NA
p2s,solubility,2.0,eval_precision,0.7728692547969657,cross-validation,NA
p2s,solubility,2.0,eval_recall,0.597859855022437,cross-validation,NA
p2s,solubility,2.0,eval_f1,0.674192292720903,cross-validation,NA
p2s,solubility,2.0,eval_mcc,0.4978321156382826,cross-validation,NA
p2s,solubility,2.0,eval_runtime,68.2388,cross-validation,NA
p2s,solubility,2.0,eval_samples_per_second,203.462,cross-validation,NA
p2s,solubility,2.0,eval_steps_per_second,203.462,cross-validation,NA
p2s,solubility,2.0,epoch,6.0,cross-validation,NA
p2s,solubility,3.0,eval_loss,0.4815738797187805,cross-validation,NA
p2s,solubility,3.0,eval_accuracy,0.7626044367617402,cross-validation,NA
p2s,solubility,3.0,eval_precision,0.7699956766104626,cross-validation,NA
p2s,solubility,3.0,eval_recall,0.6147739040386607,cross-validation,NA
p2s,solubility,3.0,eval_f1,0.6836852207293667,cross-validation,NA
p2s,solubility,3.0,eval_mcc,0.5055651387788368,cross-validation,NA
p2s,solubility,3.0,eval_runtime,70.7951,cross-validation,NA
p2s,solubility,3.0,eval_samples_per_second,196.115,cross-validation,NA
p2s,solubility,3.0,eval_steps_per_second,196.115,cross-validation,NA
p2s,solubility,3.0,epoch,6.0,cross-validation,NA
p2s,solubility,4.0,eval_loss,0.4697578847408294,cross-validation,NA
p2s,solubility,4.0,eval_accuracy,0.7625324114088159,cross-validation,NA
p2s,solubility,4.0,eval_precision,0.7562076749435666,cross-validation,NA
p2s,solubility,4.0,eval_recall,0.6360027614773904,cross-validation,NA
p2s,solubility,4.0,eval_f1,0.6909159088778475,cross-validation,NA
p2s,solubility,4.0,eval_mcc,0.5053882332141579,cross-validation,NA
p2s,solubility,4.0,eval_runtime,59.6745,cross-validation,NA
p2s,solubility,4.0,eval_samples_per_second,232.662,cross-validation,NA
p2s,solubility,4.0,eval_steps_per_second,232.662,cross-validation,NA
p2s,solubility,4.0,epoch,6.0,cross-validation,NA
p2s,solubility,,eval_loss,0.5146416425704956,test,NA
p2s,solubility,,eval_accuracy,0.7411294352823589,test,NA
p2s,solubility,,eval_precision,0.6978653530377669,test,NA
p2s,solubility,,eval_recall,0.85,test,NA
p2s,solubility,,eval_f1,0.7664562669071235,test,NA
p2s,solubility,,eval_mcc,0.4941862661473273,test,NA
p2s,solubility,,eval_runtime,10.0489,test,NA
p2s,solubility,,eval_samples_per_second,199.127,test,NA
p2s,solubility,,eval_steps_per_second,199.127,test,NA
p2s,solubility,,epoch,7.0,test,NA
p2s,transporters,0.0,eval_loss,0.5619977116584778,cross-validation,NA
p2s,transporters,0.0,eval_accuracy,0.822463768115942,cross-validation,NA
p2s,transporters,0.0,eval_precision,0.7553956834532374,cross-validation,NA
p2s,transporters,0.0,eval_recall,0.875,cross-validation,NA
p2s,transporters,0.0,eval_f1,0.8108108108108109,cross-validation,NA
p2s,transporters,0.0,eval_mcc,0.6514551257580816,cross-validation,NA
p2s,transporters,0.0,eval_runtime,1.5097,cross-validation,NA
p2s,transporters,0.0,eval_samples_per_second,182.818,cross-validation,NA
p2s,transporters,0.0,eval_steps_per_second,182.818,cross-validation,NA
p2s,transporters,0.0,epoch,9.0,cross-validation,NA
p2s,transporters,1.0,eval_loss,0.3233720064163208,cross-validation,NA
p2s,transporters,1.0,eval_accuracy,0.855072463768116,cross-validation,NA
p2s,transporters,1.0,eval_precision,0.8076923076923077,cross-validation,NA
p2s,transporters,1.0,eval_recall,0.875,cross-validation,NA
p2s,transporters,1.0,eval_f1,0.8400000000000001,cross-validation,NA
p2s,transporters,1.0,eval_mcc,0.709831204455108,cross-validation,NA
p2s,transporters,1.0,eval_runtime,1.4544,cross-validation,NA
p2s,transporters,1.0,eval_samples_per_second,189.763,cross-validation,NA
p2s,transporters,1.0,eval_steps_per_second,189.763,cross-validation,NA
p2s,transporters,1.0,epoch,8.0,cross-validation,NA
p2s,transporters,2.0,eval_loss,0.3914447724819183,cross-validation,NA
p2s,transporters,2.0,eval_accuracy,0.8405797101449275,cross-validation,NA
p2s,transporters,2.0,eval_precision,0.8064516129032258,cross-validation,NA
p2s,transporters,2.0,eval_recall,0.8333333333333334,cross-validation,NA
p2s,transporters,2.0,eval_f1,0.819672131147541,cross-validation,NA
p2s,transporters,2.0,eval_mcc,0.677175991908484,cross-validation,NA
p2s,transporters,2.0,eval_runtime,1.4387,cross-validation,NA
p2s,transporters,2.0,eval_samples_per_second,191.836,cross-validation,NA
p2s,transporters,2.0,eval_steps_per_second,191.836,cross-validation,NA
p2s,transporters,2.0,epoch,7.0,cross-validation,NA
p2s,transporters,3.0,eval_loss,0.4578361809253692,cross-validation,NA
p2s,transporters,3.0,eval_accuracy,0.8115942028985508,cross-validation,NA
p2s,transporters,3.0,eval_precision,0.7266666666666667,cross-validation,NA
p2s,transporters,3.0,eval_recall,0.9083333333333332,cross-validation,NA
p2s,transporters,3.0,eval_f1,0.8074074074074075,cross-validation,NA
p2s,transporters,3.0,eval_mcc,0.6424315961395078,cross-validation,NA
p2s,transporters,3.0,eval_runtime,1.4499,cross-validation,NA
p2s,transporters,3.0,eval_samples_per_second,190.36,cross-validation,NA
p2s,transporters,3.0,eval_steps_per_second,190.36,cross-validation,NA
p2s,transporters,3.0,epoch,8.0,cross-validation,NA
p2s,transporters,4.0,eval_loss,0.4462036490440368,cross-validation,NA
p2s,transporters,4.0,eval_accuracy,0.8840579710144928,cross-validation,NA
p2s,transporters,4.0,eval_precision,0.8384615384615385,cross-validation,NA
p2s,transporters,4.0,eval_recall,0.9083333333333332,cross-validation,NA
p2s,transporters,4.0,eval_f1,0.872,cross-validation,NA
p2s,transporters,4.0,eval_mcc,0.7684002365715832,cross-validation,NA
p2s,transporters,4.0,eval_runtime,1.4107,cross-validation,NA
p2s,transporters,4.0,eval_samples_per_second,195.65,cross-validation,NA
p2s,transporters,4.0,eval_steps_per_second,195.65,cross-validation,NA
p2s,transporters,4.0,epoch,10.0,cross-validation,NA
p2s,transporters,,eval_loss,0.4533240497112274,test,NA
p2s,transporters,,eval_accuracy,0.8277777777777777,test,NA
p2s,transporters,,eval_precision,0.7164179104477612,test,NA
p2s,transporters,,eval_recall,0.8,test,NA
p2s,transporters,,eval_f1,0.7559055118110236,test,NA
p2s,transporters,,eval_mcc,0.6257474727211925,test,NA
p2s,transporters,,eval_runtime,1.26,test,NA
p2s,transporters,,eval_samples_per_second,142.861,test,NA
p2s,transporters,,eval_steps_per_second,142.861,test,NA
p2s,transporters,,epoch,6.0,test,NA
p2s,ionchannels,0.0,eval_loss,0.0910995304584503,cross-validation,NA
p2s,ionchannels,0.0,eval_accuracy,0.9781121751025992,cross-validation,NA
p2s,ionchannels,0.0,eval_precision,0.9714285714285714,cross-validation,NA
p2s,ionchannels,0.0,eval_recall,0.6938775510204082,cross-validation,NA
p2s,ionchannels,0.0,eval_f1,0.8095238095238094,cross-validation,NA
p2s,ionchannels,0.0,eval_mcc,0.8109904063970197,cross-validation,NA
p2s,ionchannels,0.0,eval_runtime,4.4289,cross-validation,NA
p2s,ionchannels,0.0,eval_samples_per_second,165.054,cross-validation,NA
p2s,ionchannels,0.0,eval_steps_per_second,165.054,cross-validation,NA
p2s,ionchannels,0.0,epoch,6.0,cross-validation,NA
p2s,ionchannels,1.0,eval_loss,0.0922301039099693,cross-validation,NA
p2s,ionchannels,1.0,eval_accuracy,0.9794801641586868,cross-validation,NA
p2s,ionchannels,1.0,eval_precision,1.0,cross-validation,NA
p2s,ionchannels,1.0,eval_recall,0.6875,cross-validation,NA
p2s,ionchannels,1.0,eval_f1,0.8148148148148148,cross-validation,NA
p2s,ionchannels,1.0,eval_mcc,0.8201985398055402,cross-validation,NA
p2s,ionchannels,1.0,eval_runtime,4.2298,cross-validation,NA
p2s,ionchannels,1.0,eval_samples_per_second,172.821,cross-validation,NA
p2s,ionchannels,1.0,eval_steps_per_second,172.821,cross-validation,NA
p2s,ionchannels,1.0,epoch,9.0,cross-validation,NA
p2s,ionchannels,2.0,eval_loss,0.0851198360323906,cross-validation,NA
p2s,ionchannels,2.0,eval_accuracy,0.9781121751025992,cross-validation,NA
p2s,ionchannels,2.0,eval_precision,0.9444444444444444,cross-validation,NA
p2s,ionchannels,2.0,eval_recall,0.7083333333333334,cross-validation,NA
p2s,ionchannels,2.0,eval_f1,0.8095238095238096,cross-validation,NA
p2s,ionchannels,2.0,eval_mcc,0.8074690744116945,cross-validation,NA
p2s,ionchannels,2.0,eval_runtime,4.2615,cross-validation,NA
p2s,ionchannels,2.0,eval_samples_per_second,171.536,cross-validation,NA
p2s,ionchannels,2.0,eval_steps_per_second,171.536,cross-validation,NA
p2s,ionchannels,2.0,epoch,9.0,cross-validation,NA
p2s,ionchannels,3.0,eval_loss,0.038242969661951,cross-validation,NA
p2s,ionchannels,3.0,eval_accuracy,0.9917920656634748,cross-validation,NA
p2s,ionchannels,3.0,eval_precision,1.0,cross-validation,NA
p2s,ionchannels,3.0,eval_recall,0.875,cross-validation,NA
p2s,ionchannels,3.0,eval_f1,0.9333333333333332,cross-validation,NA
p2s,ionchannels,3.0,eval_mcc,0.9313325191617576,cross-validation,NA
p2s,ionchannels,3.0,eval_runtime,4.946,cross-validation,NA
p2s,ionchannels,3.0,eval_samples_per_second,147.797,cross-validation,NA
p2s,ionchannels,3.0,eval_steps_per_second,147.797,cross-validation,NA
p2s,ionchannels,3.0,epoch,8.0,cross-validation,NA
p2s,ionchannels,4.0,eval_loss,0.0384736508131027,cross-validation,NA
p2s,ionchannels,4.0,eval_accuracy,0.9904109589041096,cross-validation,NA
p2s,ionchannels,4.0,eval_precision,0.9767441860465116,cross-validation,NA
p2s,ionchannels,4.0,eval_recall,0.875,cross-validation,NA
p2s,ionchannels,4.0,eval_f1,0.923076923076923,cross-validation,NA
p2s,ionchannels,4.0,eval_mcc,0.9195596071318064,cross-validation,NA
p2s,ionchannels,4.0,eval_runtime,4.6987,cross-validation,NA
p2s,ionchannels,4.0,eval_samples_per_second,155.362,cross-validation,NA
p2s,ionchannels,4.0,eval_steps_per_second,155.362,cross-validation,NA
p2s,ionchannels,4.0,epoch,6.0,cross-validation,NA
p2s,ionchannels,,eval_loss,0.0968159288167953,test,NA
p2s,ionchannels,,eval_accuracy,0.9791208791208792,test,NA
p2s,ionchannels,,eval_precision,0.9555555555555556,test,NA
p2s,ionchannels,,eval_recall,0.7166666666666667,test,NA
p2s,ionchannels,,eval_f1,0.8190476190476191,test,NA
p2s,ionchannels,,eval_mcc,0.8176355625560027,test,NA
p2s,ionchannels,,eval_runtime,5.5345,test,NA
p2s,ionchannels,,eval_samples_per_second,164.424,test,NA
p2s,ionchannels,,eval_steps_per_second,164.424,test,NA
p2s,ionchannels,,epoch,6.0,test,NA
p2s,mp,0.0,eval_loss,0.2116111367940902,cross-validation,NA
p2s,mp,0.0,eval_accuracy,0.9217634275069854,cross-validation,NA
p2s,mp,0.0,eval_precision,0.9121863799283154,cross-validation,NA
p2s,mp,0.0,eval_recall,0.9356617647058824,cross-validation,NA
p2s,mp,0.0,eval_f1,0.9237749546279492,cross-validation,NA
p2s,mp,0.0,eval_mcc,0.8437317139729915,cross-validation,NA
p2s,mp,0.0,eval_runtime,17.7614,cross-validation,NA
p2s,mp,0.0,eval_samples_per_second,181.349,cross-validation,NA
p2s,mp,0.0,eval_steps_per_second,181.349,cross-validation,NA
p2s,mp,0.0,epoch,7.0,cross-validation,NA
p2s,mp,1.0,eval_loss,0.2098725587129593,cross-validation,NA
p2s,mp,1.0,eval_accuracy,0.9146227879540516,cross-validation,NA
p2s,mp,1.0,eval_precision,0.9075075075075076,cross-validation,NA
p2s,mp,1.0,eval_recall,0.9258578431372548,cross-validation,NA
p2s,mp,1.0,eval_f1,0.9165908401577192,cross-validation,NA
p2s,mp,1.0,eval_mcc,0.8293426804127,cross-validation,NA
p2s,mp,1.0,eval_runtime,17.8492,cross-validation,NA
p2s,mp,1.0,eval_samples_per_second,180.457,cross-validation,NA
p2s,mp,1.0,eval_steps_per_second,180.457,cross-validation,NA
p2s,mp,1.0,epoch,6.0,cross-validation,NA
p2s,mp,2.0,eval_loss,0.20292828977108,cross-validation,NA
p2s,mp,2.0,eval_accuracy,0.9251552795031056,cross-validation,NA
p2s,mp,2.0,eval_precision,0.9093050647820966,cross-validation,NA
p2s,mp,2.0,eval_recall,0.9466584917228694,cross-validation,NA
p2s,mp,2.0,eval_f1,0.92760588765395,cross-validation,NA
p2s,mp,2.0,eval_mcc,0.8509419667577394,cross-validation,NA
p2s,mp,2.0,eval_runtime,16.4085,cross-validation,NA
p2s,mp,2.0,eval_samples_per_second,196.24,cross-validation,NA
p2s,mp,2.0,eval_steps_per_second,196.24,cross-validation,NA
p2s,mp,2.0,epoch,6.0,cross-validation,NA
p2s,mp,3.0,eval_loss,0.2096205204725265,cross-validation,NA
p2s,mp,3.0,eval_accuracy,0.9211180124223602,cross-validation,NA
p2s,mp,3.0,eval_precision,0.935483870967742,cross-validation,NA
p2s,mp,3.0,eval_recall,0.9068056407112202,cross-validation,NA
p2s,mp,3.0,eval_f1,0.9209215442092156,cross-validation,NA
p2s,mp,3.0,eval_mcc,0.842679358038662,cross-validation,NA
p2s,mp,3.0,eval_runtime,16.4257,cross-validation,NA
p2s,mp,3.0,eval_samples_per_second,196.034,cross-validation,NA
p2s,mp,3.0,eval_steps_per_second,196.034,cross-validation,NA
p2s,mp,3.0,epoch,7.0,cross-validation,NA
p2s,mp,4.0,eval_loss,0.2192458659410476,cross-validation,NA
p2s,mp,4.0,eval_accuracy,0.920496894409938,cross-validation,NA
p2s,mp,4.0,eval_precision,0.9278158058494088,cross-validation,NA
p2s,mp,4.0,eval_recall,0.9141630901287554,cross-validation,NA
p2s,mp,4.0,eval_f1,0.9209388511426806,cross-validation,NA
p2s,mp,4.0,eval_mcc,0.8410911049221838,cross-validation,NA
p2s,mp,4.0,eval_runtime,18.0161,cross-validation,NA
p2s,mp,4.0,eval_samples_per_second,178.729,cross-validation,NA
p2s,mp,4.0,eval_steps_per_second,178.729,cross-validation,NA
p2s,mp,4.0,epoch,6.0,cross-validation,NA
p2s,mp,,eval_loss,0.1846756339073181,test,NA
